name,Details,Ratings,AmazonPrice,ChromaPrice,FlipkartPrice
Nokia 130 Music 2023,2.4″ (6.1 cm) TFT Display4 MB Storage1450 mAh Battery,4.0 ★,"₹1,799 ❯",N/A,N/A
Nokia G42 4GB RAM,Snapdragon 480 Plus Octa core50+2+2 MP Rear Camera8 MP Front Camera6.56″ (16.66 cm) 90Hz IPS LCD Display,3.9 ★,"₹10,199 ❯",N/A,N/A
Nokia G42,Snapdragon 480 Plus Octa core50+2+2 MP Rear Camera8 MP Front Camera6.56″ (16.66 cm) 90Hz IPS LCD Display,3.9 ★,N/A,N/A,N/A
Nokia 2720 2019,Snapdragon 205 Dual core2 MP Rear Camera2.8″ (7.11 cm) TFT Display512 MB RAM | 4 GB Storage,3.5 ★,N/A,N/A,"₹3,499 ❯"
Nokia 2660 Flip,Unisoc Single core0.3 MP Rear Camera2.8″ (7.11 cm) TFT Display48 MB RAM | 128 MB Storage,4.0 ★,"₹4,299 ❯",N/A,N/A
Nokia G42 256GB,Snapdragon 480 Plus Octa core50+2+2 MP Rear Camera8 MP Front Camera6.56″ (16.66 cm) 90Hz IPS LCD Display,4.0 ★,N/A,N/A,"₹17,341 ❯"
Nokia 3.1 Plus 32GB,MediaTek Helio P22 Tru-Octa Core13+5 MP Rear Camera8 MP Front Camera6.0″ (15.24 cm) IPS LCD Display,3.5 ★,"₹4,999 ❯",N/A,N/A
Nokia 150 2023,0.3 MP Rear Camera2.4″ (6.1 cm) TFT Display4 MB Storage1450 mAh Battery,4.2 ★,"₹2,499 ❯",N/A,N/A
Nokia 216 Dual SIM,0.3 MP Rear Camera0.3 MP Front Camera2.4″ (6.1 cm) LCD Display16 MB RAM,4.0 ★,"₹2,960 ❯",N/A,N/A
Nokia 3310 New,2 MP Rear Camera2.4″ (6.1 cm) TFT Display16 MB Storage1200 mAh | 4.9W Charging,4.0 ★,"₹3,745 ❯",N/A,N/A
Nokia 110 4G 2023,0.08 MP Rear Camera1.8″ (4.57 cm) TFT Display1450 mAh Battery,3.8 ★,"₹2,199 ❯",N/A,N/A
Nokia 8210 4G,Unisoc Single core0.3 MP Rear Camera2.8″ (7.11 cm) TFT Display48 MB RAM | 128 MB Storage,3.5 ★,"₹3,699 ❯",N/A,N/A
Nokia 6.1 (Nokia 6 2018),Snapdragon 630 Tru-Octa Core16 MP Rear Camera8 MP Front Camera5.5″ (13.97 cm) IPS LCD Display,4.2 ★,"₹17,271 ❯",N/A,N/A
Nokia 105 2023,1.8″ (4.57 cm) TFT Display1000 mAh Battery,4.0 ★,"₹1,199 ❯",N/A,N/A
Nokia 105 Classic Dual SIM,1.77″ (4.5 cm) TFT Display4 MB RAM | 4 MB Storage800 mAh Battery,3.8 ★,"₹1,169 ❯",N/A,N/A
Nokia 150 2020,0.3 MP Rear Camera2.4″ (6.1 cm) TFT Display4 MB RAM | 4 MB Storage1020 mAh Battery,4.0 ★,"₹2,199 ❯",N/A,N/A
Nokia 105 2022,1.77″ (4.5 cm) TFT Display4 MB RAM | 4 MB Storage800 mAh Battery,4.0 ★,"₹1,350 ❯",N/A,N/A
